ts,Protocol_name,Duration,Protocol Type,flow_duration,Header_Length,src_ip_bytes,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,dst_ip_bytes,Rate,Srate,Drate,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,Correlation,RARP,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time,source_ip
1701045574.776878,TCP,128,6,0.08402204513549805,757,7,0,0,0,1,1,0,0,0,5,47.606553655643644,47.606553655643644,0.0,0,2,0,1,3,1701045574.776878,1701045574.692856,6804182299.022389,1701045574.7555974,0.036224419419929384,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1543,54,571,140.27272727272728,145.64345686959516,571,0.00045609474182128906,11,808448,16.749491172732817,205.97095197588237,21212.016528925622,1.0,121,1.0,0,0,0,0,0,0.00045609474182128906,0.08402204513549805,192.168.43.110
1701045574.777216,TCP,128,6,0.0845479965209961,757,8,0,0,0,1,1,0,0,0,6,47.310405504483676,47.310405504483676,0.0,0,2,0,1,3,1701045574.777216,1701045574.692668,6804182299.022483,1701045574.7556207,0.03634774731607294,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2114,54,571,176.16666666666666,183.3479539624651,571,0.00033783912658691406,12,808448,18.77054430040145,259.293163127076,33616.472222222226,1.0,144,0.9999999999999999,0,0,0,0,0,0.0008499622344970703,0.0845479965209961,192.168.43.110
1701045574.808719,TCP,128,6,0.0,278,9,0,0,0,1,1,0,0,0,1,47.310405504483676,47.310405504483676,0.0,0,0,0,1,1,1701045574.808719,1701045574.808719,1701045574.808719,1701045574.808719,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2392,54,571,184.0,178.2327777849043,278,0.03150296211242676,13,808448,19.183326093250876,252.05921160284174,31766.923076923078,1.0,169,1.0,0,0,0,0,0,1701045574.808719,0.0,192.168.43.110
1701045574.873512,TCP,45,6,0.18065595626831055,2191,3,0,0,0,0,1,0,0,0,5,27.676917513718678,27.676917513718678,0.0,0,2,0,1,4,1701045574.873512,1701045574.692856,8505227873.895902,1701045574.7791803,0.057222272365068765,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,3826,54,1434,273.2857142857143,364.874034735948,1434,0.06479310989379883,14,808448,23.378867136185804,516.0098084813694,133133.0612244898,1.0,196,1.0,0,0,0,0,0,0.0966339111328125,0.18065595626831055,140.82.114.22
1701045574.87363,TCP,45,6,0.18077397346496582,3625,4,0,0,0,0,1,0,0,0,6,33.190618566354665,33.190618566354665,0.0,0,2,0,1,5,1701045574.87363,1701045574.692856,10206273448.769531,1701045574.7949219,0.0629893031278855,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5260,54,1434,350.6666666666667,456.1654183395415,1434,0.00011801719665527344,15,808448,26.482698754721607,645.1153213013761,208086.88888888888,1.0,225,1.0,0,0,0,0,0,0.00011801719665527344,0.18077397346496582,140.82.114.22
1701045574.873693,TCP,128,6,0.18083691596984863,3679,10,0,0,0,0,1,0,0,0,7,38.70891052558719,38.70891052558719,0.0,0,2,0,1,6,1701045574.873693,1701045574.692856,11907319023.643225,1701045574.806175,0.06450292315700014,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5314,54,1434,332.125,447.48001002838106,54,6.29425048828125e-05,16,808448,25.773047937719745,632.832299072985,200238.359375,1.0,256,0.9999999999999998,0,0,0,0,0,6.29425048828125e-05,0.18083691596984863,192.168.43.110
1701045574.892923,TCP,45,6,0.20006704330444336,4545,5,0,0,0,1,1,0,0,0,7,39.98659583240977,39.98659583240977,0.0,0,2,0,2,7,1701045574.892923,1701045574.692856,13608364598.536148,1701045574.8170185,0.0668103542187134,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,6180,54,1434,363.52941176470586,451.92856250245603,866,0.019230127334594727,17,808448,26.964028325333953,639.1235023147502,204239.4256055363,1.0,289,1.0,0,0,0,0,0,0.019230127334594727,0.20006704330444336,140.82.114.22
1701045574.892923,TCP,45,6,0.2002551555633545,2191,6,0,0,0,0,1,0,0,0,8,24.96814619296109,24.96814619296109,0.0,0,2,0,1,4,1701045574.892923,1701045574.692668,8505227873.915406,1701045574.7830813,0.06382193022283732,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,7614,54,1434,423.0,503.0085044564908,1434,0.0,18,808448,29.086079144497972,711.3614489913767,253017.55555555556,1.0,324,1.0,0,0,0,0,0,0.1157071590423584,0.2002551555633545,140.82.114.22
1701045574.892923,TCP,45,6,0.2002551555633545,3625,7,0,0,0,0,1,0,0,0,9,29.961775431553306,29.961775431553306,0.0,0,2,0,1,5,1701045574.892923,1701045574.692668,10206273448.808329,1701045574.801388,0.07120459549574208,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,9048,54,1434,476.2105263157895,539.1338647309432,1434,0.0,19,808448,30.861319683895225,762.4504234371216,290665.32409972296,1.0,361,1.0,0,0,0,0,0,0.0,0.2002551555633545,140.82.114.22
1701045574.892923,TCP,45,6,0.2002551555633545,4491,8,0,0,0,1,1,0,0,0,10,34.955404670145526,34.955404670145526,0.0,0,2,0,2,6,1701045574.892923,1701045574.692668,11907319023.701252,1701045574.8144646,0.07329223429414015,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,9914,54,1434,495.7,532.3053728828969,866,1701045574.892923,0,808448,30.861319683895225,762.4504234371216,290665.32409972296,1.0,361,1.0,0,0,0,0,0,0.0,0.2002551555633545,140.82.114.22
1701045574.893012,TCP,128,6,0.20034408569335938,4545,11,0,0,0,0,1,0,0,0,8,39.931301052952264,39.931301052952264,0.0,0,2,0,2,7,1701045574.893012,1701045574.692668,13608364598.594265,1701045574.8242831,0.07331503047423363,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,54,54,54,54.0,0.0,54,8.893013000488281e-05,1,808448,10.392304845413264,0.0,0.0,0.0,1,0.0,0,0,0,0,0,8.893013000488281e-05,0.20034408569335938,192.168.43.110
1701045574.893751,TCP,128,6,0.20089483261108398,8033,12,0,0,0,1,1,0,0,0,9,44.79955946613752,44.79955946613752,0.0,0,2,0,3,8,1701045574.893751,1701045574.692856,15309410173.4299,1701045574.8255444,0.0674476370174915,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,3542,54,3488,1771.0,1717.0,3488,0.0007388591766357422,2,808448,59.51470406546604,2428.204686594604,2948089.0,1.0,4,1.0,0,0,0,0,0,0.000827789306640625,0.20089483261108398,192.168.43.110
1701045574.894432,TCP,128,6,0.20176410675048828,5699,13,0,0,0,1,1,0,0,0,10,44.60654645144518,44.60654645144518,0.0,0,2,0,3,8,1701045574.894432,1701045574.692668,15309410173.488697,1701045574.8320775,0.07255256434119689,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,4696,54,3488,1565.3333333333333,1431.778691775451,1154,0.0006811618804931641,3,808448,55.952360688952766,2024.8408442256505,2049990.2222222222,1.0,9,1.0,0,0,0,0,0,0.0014200210571289062,0.20176410675048828,192.168.43.110
1701045574.961174,TCP,45,6,0.26831793785095215,8087,9,0,0,0,0,1,0,0,0,11,37.26921904697589,37.26921904697589,0.0,0,2,0,3,9,1701045574.961174,1701045574.692856,17010455748.391073,1701045574.8391073,0.0758277932195878,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,4750,54,3488,1187.5,1402.0580408813323,54,0.066741943359375,4,808448,48.73397172404482,1982.8094966486317,1965766.75,1.0,16,1.0,0,0,0,0,0,0.06742310523986816,0.26831793785095215,140.82.114.22
1701045574.961174,TCP,45,6,0.26831793785095215,8220,10,0,0,0,1,1,0,0,0,12,40.99614095167348,40.99614095167348,0.0,0,2,0,4,10,1701045574.961174,1701045574.692856,18711501323.35225,1701045574.8502045,0.08036522838951708,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,4883,54,3488,976.6,1323.0754475841504,133,0.0,5,808448,44.19502234415093,1871.1112420163586,1750528.6400000001,1.0,25,1.0,0,0,0,0,0,0.0,0.26831793785095215,140.82.114.22
1701045574.961174,TCP,45,6,0.26831793785095215,8353,11,0,0,0,1,1,0,0,0,13,44.72306285637107,44.72306285637107,0.0,0,2,0,5,11,1701045574.961174,1701045574.692856,20412546898.313423,1701045574.859452,0.08283134226329035,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5016,54,3488,836.0,1248.0447374460048,133,0.0,6,808448,40.890096600521744,1765.0017941445083,1557615.6666666667,1.0,36,1.0,0,0,0,0,0,0.0,0.26831793785095215,140.82.114.22
1701045574.96123,TCP,128,6,0.268373966217041,8407,14,0,0,0,0,1,0,0,0,11,48.43986986981651,48.43986986981651,0.0,0,2,0,5,12,1701045574.96123,1701045574.692856,22113592473.274654,1701045574.8672812,0.0840761440914993,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5070,54,3488,724.2857142857143,1187.425632472645,54,5.602836608886719e-05,7,808448,38.0601028449928,1679.273433752265,1409979.6326530613,1.0,49,0.9999999999999998,0,0,0,0,0,5.602836608886719e-05,0.268373966217041,192.168.43.110
1701045574.97402,TCP,45,6,0.28135204315185547,5832,12,0,0,0,1,1,0,0,0,14,35.54265996427349,35.54265996427349,0.0,0,2,0,4,9,1701045574.97402,1701045574.692668,17010455748.462717,1701045574.8462718,0.08093689605032167,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5203,54,3488,650.375,1127.8172433399836,133,0.01278996467590332,8,808448,36.065911883661,1594.9744414096422,1271971.734375,1.0,64,0.9999999999999999,0,0,0,0,0,0.07958793640136719,0.28135204315185547,140.82.114.22
1701045574.97402,TCP,45,6,0.28135204315185547,5965,13,0,0,0,1,1,0,0,0,15,39.09692596070084,39.09692596070084,0.0,0,2,0,5,10,1701045574.97402,1701045574.692668,18711501323.436737,1701045574.8578851,0.08546336446077224,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5336,54,3488,592.8888888888889,1075.6759574481987,133,0.0,9,808448,34.43512418705322,1521.235527741907,1157078.7654320989,1.0,81,1.0,0,0,0,0,0,0.0,0.28135204315185547,140.82.114.22
1701045574.974068,TCP,128,6,0.2813999652862549,6019,15,0,0,0,0,1,0,0,0,12,42.64392850152973,42.64392850152973,0.0,0,2,0,5,11,1701045574.974068,1701045574.692668,20412546898.410805,1701045574.867567,0.08790024030777821,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,5390,54,3488,539.0,1033.2023035204675,54,4.792213439941406e-05,10,808448,32.83291031876401,1461.168710313768,1067507.0,1.0,100,0.9999999999999998,0,0,0,0,0,4.792213439941406e-05,0.2813999652862549,192.168.43.110
1701045575.01068,TCP,46,6,0.20196104049682617,332,1,0,0,0,0,1,0,0,0,16,9.902900059734195,9.902900059734195,0.0,0,0,0,1,2,1701045575.01068,1701045574.808719,3402091149.819399,1701045574.9096994,0.10098052024841309,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5444,54,3488,494.90909090909093,994.9376823377117,54,0.03661203384399414,11,808448,31.461376031861384,1407.054364078046,989900.9917355378,1.0,121,1.0,0,0,0,0,0,0.20196104049682617,0.20196104049682617,149.154.167.91
1701045575.010725,TCP,128,6,0.20200610160827637,730,16,0,0,0,1,1,0,0,0,2,14.85103655837833,14.85103655837833,0.0,0,0,0,2,3,1701045575.010725,1701045574.808719,5103136724.830124,1701045574.9433746,0.09521597029679288,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5842,54,3488,486.8333333333333,952.9567875244338,398,4.506111145019531e-05,12,808448,31.203632267200348,1347.68441327255,908126.6388888889,1.0,144,0.9999999999999999,0,0,0,0,0,4.506111145019531e-05,0.20200610160827637,192.168.43.110
1701045575.153361,TCP,46,6,0.34464216232299805,784,2,0,0,0,0,1,0,0,0,17,11.606241015430976,11.606241015430976,0.0,0,0,0,2,4,1701045575.153361,1701045574.808719,6804182299.983485,1701045574.9958713,0.12274870095762597,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5896,54,3488,453.53846153846155,922.8073067784992,54,0.14263606071472168,13,808448,30.11771776009801,1305.046608703143,851573.325443787,1.0,169,0.9999999999999999,0,0,0,0,0,0.14263606071472168,0.34464216232299805,149.154.167.91
1701045575.192725,TCP,46,6,0.3840060234069824,1601,3,0,0,0,1,1,0,0,0,18,13.020629092322421,13.020629092322421,0.0,0,0,0,3,5,1701045575.192725,1701045574.808719,8505227875.17621,1701045575.035242,0.1351074216019983,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6713,54,3488,479.5,894.1524917884133,817,0.039363861083984375,14,808448,30.967725134404045,1264.5225807168715,799508.6785714285,1.0,196,0.9999999999999997,0,0,0,0,0,0.039363861083984375,0.3840060234069824,149.154.167.91
1701045575.204714,TCP,47,6,0.0,817,4,0,0,0,1,1,0,0,0,19,13.020629092322421,13.020629092322421,0.0,0,0,0,1,1,1701045575.204714,1701045575.204714,1701045575.204714,1701045575.204714,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,7530,54,3488,502.0,867.9260337148552,817,0.011989116668701172,15,808448,31.68595903550972,1227.4327680162364,753295.6,1.0,225,1.0,0,0,0,0,0,1701045575.204714,0.0,149.154.167.91
1701045575.20695,TCP,128,6,0.002235889434814453,1095,17,0,0,0,1,1,0,0,0,3,894.4986137769247,894.4986137769247,0.0,0,0,0,2,2,1701045575.20695,1701045575.204714,3402091150.411664,1701045575.205832,0.0011179447174072266,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,7808,54,3488,488.0,842.1131901353879,278,0.002235889434814453,16,808448,31.240998703626616,1190.9278945427384,709154.625,1.0,256,1.0,0,0,0,0,0,0.002235889434814453,0.002235889434814453,192.168.43.110
1701045575.241671,TCP,128,6,0.4329521656036377,1655,18,0,0,0,0,1,0,0,0,4,13.858343892643616,13.858343892643616,0.0,0,0,0,3,6,1701045575.241671,1701045574.808719,10206273450.417881,1701045575.0696468,0.1453621271044201,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,7862,54,3488,462.47058823529414,823.3271894572982,54,0.03472113609313965,17,808448,30.41284558324966,1164.3604776010338,677867.6608996537,1.0,289,1.0,0,0,0,0,0,0.04894614219665527,0.4329521656036377,192.168.43.110
