ts,Protocol_name,Duration,Protocol Type,flow_duration,Header_Length,src_ip_bytes,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,dst_ip_bytes,Rate,Srate,Drate,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,Correlation,RARP,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time,source_ip,source_mac
1701113596.879509,TCP,128,6,0.07558798789978027,272,6,0,0,0,0,1,0,0,0,5,39.68884585177218,39.68884585177218,0.0,0,0,0,2,3,1701113596.879509,1701113596.803921,5103340790.514256,1701113596.8380852,0.03128275205524852,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1068,54,214,97.0909090909091,44.57772486028205,54,0.0,11,808448,13.934913640988889,63.04242307714716,1987.1735537190084,1.0,121,1.0,0,0,0,0,0,0.048683881759643555,0.07558798789978027,10.216.22.121,0
1701113598.386828,UDP,56,17,0.0,121,1,0,0,0,0,0,0,0,0,5,39.68884585177218,39.68884585177218,0.0,0,0,0,0,0,1701113598.386828,1701113598.386828,1701113598.386828,1701113598.386828,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1189,54,214,99.08333333333333,43.18845974974745,121,1.5073189735412598,12,808448,14.07716827585245,61.077705516097375,1865.2430555555557,1.0,144,0.9999999999999998,0,0,0,0,0,1701113598.386828,0.0,64.233.177.95,0
1701113598.387039,UDP,128,17,0.0002110004425048828,197,7,0,0,0,0,0,0,0,0,1,9478.653107344633,9478.653107344633,0.0,0,0,0,0,0,1701113598.387039,1701113598.386828,3402227196.7738667,1701113598.3869333,0.00010550028860230101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1265,54,214,97.3076923076923,41.94755813079106,76,0.0002110004425048828,13,808448,13.950461806527574,59.32280561699851,1759.5976331360948,1.0,169,1.0,0,0,0,0,0,0.0002110004425048828,0.0002110004425048828,10.216.22.121,0
1701113599.82254,UDP,56,17,1.4357120990753174,318,2,0,0,0,0,0,0,0,0,6,2.0895554212659877,2.0895554212659877,0.0,0,0,0,0,0,1701113599.82254,1701113598.386828,5103340796.596407,1701113598.865469,0.6767514462594613,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1386,54,214,99.0,40.879614200024655,121,1.4355010986328125,14,808448,14.071247279470288,57.812504826254624,1671.142857142857,1.0,196,0.9999999999999998,0,0,0,0,0,1.4355010986328125,1.4357120990753174,64.233.177.95,0
1701113599.82254,UDP,56,17,1.4357120990753174,388,3,0,0,0,0,0,0,0,0,7,2.7860738950213166,2.7860738950213166,0.0,0,0,0,0,0,1701113599.82254,1701113598.386828,6804454396.418947,1701113599.1047368,0.7178033033035485,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1456,54,214,97.06666666666666,40.150494669707655,70,0.0,15,808448,13.93317384278734,56.78137409788922,1612.062222222223,1.0,225,0.9999999999999999,0,0,0,0,0,0.0,1.4357120990753174,64.233.177.95,0
1701113599.82283,UDP,128,17,1.4360020160675049,464,8,0,0,0,0,0,0,0,0,2,3.481889262030782,3.481889262030782,0.0,0,0,0,0,0,1701113599.82283,1701113598.386828,8505567996.241777,1701113599.2483554,0.7033480820913313,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1532,54,214,95.75,39.20857686782319,76,0.0002899169921875,16,808448,13.838352503098047,55.44930116782357,1537.3125,1.0,256,1.0,0,0,0,0,0,0.0002899169921875,1.4360020160675049,10.216.22.121,0
1701113599.828373,UDP,128,17,0.0,284,9,0,0,0,0,0,0,0,0,1,3.481889262030782,3.481889262030782,0.0,0,0,0,0,0,1701113599.828373,1701113599.828373,1701113599.828373,1701113599.828373,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1816,54,284,106.82352941176471,58.38536812483642,284,0.0055429935455322266,17,808448,14.616670579291627,82.56937944628946,3408.8512110726647,1.0,289,1.0,0,0,0,0,0,1701113599.828373,0.0,10.216.22.121,0
1701113599.840147,UDP,128,17,1.4533190727233887,541,10,0,0,0,0,0,0,0,0,3,4.128480877056504,4.128480877056504,0.0,0,0,0,0,0,1701113599.840147,1701113598.386828,10206681596.081924,1701113599.3469875,0.6788888471224813,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1893,54,284,105.16666666666667,57.1501433846748,77,0.011774063110351562,18,808448,14.502873278538061,80.82250786617412,3266.1388888888887,1.0,324,0.9999999999999999,0,0,0,0,0,0.01731705665588379,1.4533190727233887,10.216.22.121,0
1701113599.848527,UDP,57,17,0.02015399932861328,355,1,0,0,0,0,0,0,0,0,8,99.23588700137226,99.23588700137226,0.0,0,0,0,0,0,1701113599.848527,1701113599.828373,3402227199.6769,1701113599.83845,0.01007699966430664,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1964,54,284,103.36842105263158,56.1466224567106,71,0.008379936218261719,19,808448,14.378346292437916,79.40331495972192,3152.4432132963993,1.0,361,1.0,0,0,0,0,0,0.02015399932861328,0.02015399932861328,64.233.176.95,0
1701113599.856815,UDP,57,17,0.0284421443939209,464,2,0,0,0,0,0,0,0,0,9,105.47727901420848,105.47727901420848,0.0,0,0,0,0,0,1701113599.856815,1701113599.828373,5103340799.533715,1701113599.8445718,0.01194353667848732,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2073,54,284,103.65,54.73872029925435,109,1701113599.856815,0,808448,14.378346292437916,79.40331495972192,3152.4432132963993,1.0,361,1.0,0,0,0,0,0,0.008288145065307617,0.0284421443939209,64.233.176.95,0
1701113599.856815,UDP,57,17,0.0284421443939209,527,3,0,0,0,0,0,0,0,0,10,140.63637201894463,140.63637201894463,0.0,0,0,0,0,0,1701113599.856815,1701113599.828373,6804454399.390531,1701113599.8476326,0.011622934068743077,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,63,63,63,63.0,0.0,63,0.0,1,808448,11.224972160321824,0.0,0.0,0.0,1,0.0,0,0,0,0,0,0.0,0.0284421443939209,64.233.176.95,0
1701113599.857149,UDP,128,17,0.028775930404663086,604,11,0,0,0,0,0,0,0,0,2,173.75632793404864,173.75632793404864,0.0,0,0,0,0,0,1701113599.857149,1701113599.828373,8505567999.24768,1701113599.849536,0.011070855855771757,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,140,63,77,70.0,7.0,77,0.0003337860107421875,2,808448,11.832159566199232,9.899494936611665,49.0,1.0,4,1.0,0,0,0,0,0,0.0003337860107421875,0.028775930404663086,10.216.22.121,0
1701113599.858753,UDP,128,17,1.4719250202178955,858,12,0,0,0,0,0,0,0,0,4,4.755677024203148,4.755677024203148,0.0,0,0,0,0,0,1701113599.858753,1701113598.386828,11907795195.940678,1701113599.4200969,0.6535430472975065,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,457,63,317,152.33333333333334,116.5771084828502,317,0.0016040802001953125,3,808448,17.45470328211473,164.86492787868633,13590.222222222224,1.0,9,1.0,0,0,0,0,0,0.018605947494506836,1.4719250202178955,10.216.22.121,0
1701113599.882788,UDP,56,17,1.495959997177124,932,4,0,0,0,0,0,0,0,0,11,5.347736580587714,5.347736580587714,0.0,0,0,0,0,0,1701113599.882788,1701113598.386828,13608908795.823465,1701113599.4779332,0.6301936594681388,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,531,63,317,132.75,106.50440131750425,74,0.024034976959228516,4,808448,16.294170736800325,150.61996879564143,11343.1875,1.0,16,1.0,0,0,0,0,0,0.024034976959228516,1.495959997177124,64.233.177.95,0
